ID,Latitude,Longitude
USC00052212,39.85,-104.7319
USC00052213,39.7264,-104.985
USC00052223,39.7294,-105.0083
USC00052228,39.7489,-104.9425
USC00052281,39.6261,-106.0353
USC00052286,40.2442,-108.9725
USC00052294,38.9608,-105.2158
USC00052312,37.3833,-103.8833
USC00052326,37.4753,-108.4975
USC00052342,37.7672,-108.9119
USC00052432,37.2833,-107.8833
USC00052435,37.1569,-107.8564
USC00052441,37.2911,-107.8564
USC00052446,38.4758,-102.7769
USC00052494,39.1092,-104.5997
USC00052496,39.0833,-104.55
USC00052501,39.0333,-104.6667
USC00052535,40.1089,-102.4867
USC00052538,40.3369,-102.5275
USC00052540,40.3364,-102.5258
USC00052557,39.75,-105.0833
USC00052593,39.2167,-104.55
USC00052595,39.25,-104.5833
USC00052597,39.2,-104.5
USC00052598,39.1667,-104.5667
USC00052601,39.1667,-104.6
USC00052603,39.1167,-104.6167
USC00052624,37.55,-107.8
USC00052631,39.3811,-104.6292
USC00052632,39.2581,-104.6092
USC00052633,39.4833,-105.3667
USC00052635,39.5,-105.4167
USC00052668,38.7403,-104.3994
USC00052731,40.05,-105.05
USC00052759,40.3767,-105.4858
USC00052761,40.3489,-105.52
USC00052790,39.6381,-105.315
USC00052795,39.6167,-105.35
USC00052803,37.0333,-102.0667
USC00052814,39.2333,-106
USC00052816,39.2219,-105.9936
USC00052880,40.7833,-107.65
USC00052932,39.2814,-103.062
USC00052933,39.5211,-103.1331
USC00052934,40.3692,-105.2353
USC00052944,40.6844,-102.8397
USC00052947,40.6483,-102.8594
USC00052955,38.3833,-105.1333
USC00052965,38.9128,-105.285
USC00052997,38.55,-103.6833
USC00053005,40.5764,-105.0858
USC00053006,40.5756,-105.0236
USC00053010,37.424,-105.4324
USC00053016,37.2308,-108.0514
USC00053027,40.0667,-104.7833
USC00053038,40.2569,-103.87
USC00053063,38.6778,-104.7014
USC00053068,38.7833,-104.6167
USC00053079,38.1236,-104.0083
USC00053113,39.95,-105.8333
USC00053116,39.9425,-105.8172
USC00053138,38,-105.3333
USC00053146,39.1444,-108.7281
USC00053147,39.1692,-108.7761
USC00053222,37.7667,-105.1833
USC00053246,38.6878,-108.9608
USC00053258,39.2775,-103.4958
USC00053261,39.7053,-105.6997
USC00053307,38.9539,-109.0528
USC00053310,39,-108.75
USC00053331,40.3897,-105.4503
USC00053340,40.8,-105.8833
USC00053345,39.7833,-106.0167
USC00053359,39.5181,-107.3172
USC00053387,39.7197,-105.2472
USC00053388,39.78,-105.3203
USC00053423,40.15,-106.4667
USC00053446,40.5092,-106.0056
USC00053463,37.45,-102.8833
USC00053477,38.0611,-102.3111
USC00053486,39.1197,-108.5247
USC00053489,39.0422,-108.4664
USC00053496,40.2669,-105.8322
USC00053500,40.185,-105.8667
USC00053508,39.45,-108.05
USC00053530,39.4608,-105.6786
USC00053538,40.7833,-107.8333
USC00053541,37.7333,-105.5119
USC00053546,40.4167,-104.6833
USC00053553,40.4022,-104.6992
USC00053570,39.1833,-104.85
USC00053579,39.1044,-104.7286
USC00053584,39.2167,-104.7383
USC00053592,39.8789,-106.3333
USC00053609,40.6167,-108.6667
USC00053629,39.9364,-105.3503
USC00053643,40.85,-104.4
USC00053652,38.6867,-105.3925
USC00053654,38.75,-105.5333
USC00053655,38.8167,-105.5333
USC00053656,38.6753,-105.3922
USC00053662,38.5253,-106.9672
USC00053738,40.3722,-107.6117
USC00053742,40.3581,-107.6081
USC00053783,37.4833,-102.6833
USC00053811,39.0333,-105.8
USC00053828,38.4467,-103.1606
USC00053850,39.9333,-105.2833
USC00053867,40.4925,-107.2547
USC00053951,37.7494,-107.095
USC00053954,38.1,-105.6167
USC00053975,40.9833,-108.6167
USC00053982,37.75,-103.4667
USC00054054,40.9678,-106.0003
USC00054076,38.0517,-102.1317
USC00054078,38.0636,-102.1289
USC00054082,40.5453,-102.3411
USC00054129,40.05,-106.15
USC00054135,40.5831,-105.6319
USC00054155,39.9875,-104.0847
USC00054157,39.9,-104.0833
USC00054172,39.1439,-103.4897
USC00054234,39.75,-105.5167
USC00054242,39.7033,-102.2939
USC00054250,37.1364,-107.6264
USC00054254,37.0856,-107.5333
USC00054270,39.0833,-106.6167
USC00054293,39.5728,-105.2192
USC00054346,37,-105.6333
USC00054380,39.6553,-102.6805
USC00054388,38.0633,-102.9297
USC00054397,39.7667,-105.85
USC00054413,40.9878,-102.2653
USC00054444,38.7411,-103.5428
USC00054452,39.49,-105.0953
USC00054460,40.85,-103.9
USC00054512,39.5908,-105.8725
USC00054538,37.4536,-103.3219
USC00054542,37.2,-103.4833
USC00054546,37.115,-103.2986
USC00054584,39.2833,-104.4333
USC00054585,39.3,-104.5167
USC00054592,39.6167,-102.5833
USC00054603,38.7658,-102.8031
USC00054606,38.8867,-102.7233
USC00054614,37.1167,-108.1833
USC00054664,40.0575,-106.3681
USC00054684,38.9167,-103.8667
USC00054686,38.8333,-103.8333
USC00054719,38,-103.5333
USC00054721,38.0433,-103.5047
USC00054724,37.9825,-103.5439
USC00054726,37.7514,-103.4767
USC00054734,38.0247,-107.3147
USC00054735,38.0228,-107.3144
USC00054736,38.0522,-107.3036
USC00054742,38.9075,-105.4706
USC00054750,38.8167,-104.9833
USC00054762,39.7489,-105.1206
USC00054770,38.0936,-102.6306
USC00054825,39.2786,-104.92
USC00054834,38.0636,-103.2153
USC00054856,39.75,-103.6
USC00054865,37.5,-105
USC00054870,37.4667,-105.1667
USC00054888,39.235,-106.305
USC00054934,37.3789,-107.6592
USC00054945,40.5147,-102.9906
USC00055001,38.1167,-104.5833
USC00055015,39.15,-103.7667
USC00055020,39.0036,-103.7392
USC00055025,39.7556,-103.4986
USC00055040,38.9333,-108.85
USC00055041,39.05,-108.85
USC00055048,40,-108.2
USC00055056,39.6167,-105.0167
USC00055116,40.1694,-105.0775
USC00055121,40.2467,-105.1464
USC00055236,40.435,-105.085
USC00055322,37.1742,-105.9392
USC00055327,37.335,-108.3161
USC00055352,38.8558,-104.9331
USC00055394,38.4,-106.25
USC00055402,39.6211,-105.0656
USC00055408,40.0214,-107.5556
USC00055414,40.0239,-107.4336
USC00055420,40.2528,-108.6406
USC00055422,40.2844,-108.605
USC00055427,39.1289,-103.8456
USC00055446,40.5158,-108.0947
USC00055484,40.0358,-107.9058
USC00055487,40.0333,-107.9167
USC00055489,40.1333,-107.9833
USC00055507,39.3619,-106.7422
USC00055513,39.3667,-106.6833
USC00055519,39.0892,-108.1183
USC00055520,39.05,-108.0833
USC00055531,37.1997,-108.4892
USC00055564,38.6167,-104.6667
USC00055573,39.8333,-102.4667
USC00055667,37.0667,-102.2333
USC00055706,37.5811,-106.1869
USC00055711,37.4833,-106.15
USC00055717,38.4833,-107.8833
USC00055722,38.4858,-107.8792
USC00055730,39.0833,-104.9333
USC00055732,39.0808,-104.8661
USC00055733,39.0564,-104.8683
USC00055734,39.1025,-104.8675
USC00055795,38.0492,-104.9961
USC00055797,39.6561,-105.5997
USC00055805,39.65,-105.2333
USC00055819,37.5833,-105.1833
USC00055878,39.9833,-105.5
USC00055881,40.0361,-105.5461
USC00055890,38.1833,-104.1667
USC00055922,40.6089,-103.8461
USC00055934,40.9319,-103.8678
USC00055970,37.8122,-109.0133
USC00055984,39.8989,-105.0133
USC00055990,37.2167,-105.05
USC00056012,38.1317,-108.2864
USC00056013,38.1314,-108.285
USC00056023,40.7064,-104.7833
USC00056040,40.2406,-107.0969
USC00056073,39.55,-107.9333
USC00056081,38.6167,-107.9833
USC00056116,38.55,-108
USC00056131,38.2211,-103.7322
USC00056136,38.53,-103.7058
USC00056192,40.2667,-102.8333
USC00056203,38.0206,-107.6686
USC00056205,38.0264,-107.6725
USC00056225,40.9667,-102.3833
USC00056258,37.2536,-106.9942
USC00056259,37.2658,-107.0531
USC00056263,37.3114,-107.1194
USC00056266,39.1136,-108.3506
USC00056270,37.5333,-107.1833
USC00056271,37.4333,-107.15
USC00056280,39.115,-104.9178
USC00056299,40.6167,-102.4667
USC00056306,38.8522,-107.6225
USC00056307,38.8667,-107.5833
USC00056308,38.8475,-107.6222
USC00056311,39.45,-108.05
USC00056315,38.3667,-108.95
USC00056318,38.3833,-108.9833
USC00056320,38.3897,-108.9494
USC00056323,39.5144,-104.7503
USC00056326,39.5289,-104.6567
USC00056342,39.9167,-106.1167
USC00056382,40.9667,-106.5667
USC00056410,38.45,-105.0667
USC00056430,39.2667,-104.9667
USC00056438,39,-103.7333
USC00056513,38.6,-106.5333
USC00056520,38.0178,-108.0514
USC00056524,37.9944,-108.0211
USC00056559,37.35,-106.5333
USC00056591,37.5875,-108.7842
USC00056651,38.2667,-107.1
USC00056705,37.3167,-102.7167
USC00056710,37.2333,-103.0833
USC00056743,38.2833,-104.65
USC00056748,38.2667,-104.6
USC00056753,38.2833,-104.6167
